word,count
the,1433
.,1261
",",969
and,826
i,730
to,665
it,621
a,553
is,500
of,348
for,316
with,267
that,261
my,226
was,206
this,206
in,199
not,190
you,189
on,173
have,162
but,147
computer,134
n't,117
so,116
had,115
),113
(,113
-,112
laptop,112
they,111
has,108
use,107
as,104
all,102
very,102
are,99
windows,98
be,95
great,94
me,93
battery,93
"""",92
's,90
!,90
would,85
mac,84
or,84
do,81
like,81
only,81
screen,80
when,78
if,77
up,77
can,77
just,76
at,75
after,73
out,73
one,68
also,67
from,66
an,64
more,63
keyboard,63
which,62
easy,62
price,60
life,60
about,60
no,59
drive,58
get,57
hard,56
than,55
software,54
does,52
even,52
there,52
',51
good,49
new,49
because,48
will,47
any,46
well,46
time,46
system,45
work,45
its,45
problem,43
warranty,43
power,40
did,40
quality,39
apple,39
your,39
7,39
features,39
thing,39
other,38
:,38
macbook,38
os,38
programs,37
much,37
buy,37
back,37
could,36
works,36
$,36
were,35
fast,35
first,35
love,35
toshiba,34
2,34
am,34
service,34
pc,34
used,34
bought,33
need,33
what,32
mouse,32
size,32
problems,32
performance,31
  ,31
graphics,31
support,30
memory,29
since,29
same,29
pro,28
been,28
some,28
hours,28
card,28
again,28
then,28
many,28
now,28
want,28
3,28
better,28
machine,28
everything,27
best,27
comes,26
by,26
using,26
right,26
working,26
we,26
never,26
run,26
off,25
office,25
got,25
having,24
way,24
m,24
applications,24
ve,24
/,24
still,24
product,24
really,23
nice,23
took,23
laptops,23
how,23
too,23
their,23
ram,22
down,22
replaced,22
purchase,22
vista,22
went,22
program,22
built,21
issue,21
made,21
speed,21
go,21
runs,21
over,21
make,20
two,20
dvd,20
pad,20
another,20
small,20
should,20
bad,20
lot,20
months,20
netbook,20
long,20
microsoft,19
design,19
them,19
hp,19
games,19
looking,19
usb,19
through,19
web,19
find,19
touch,19
operating,19
ca,19
come,19
issues,18
worth,18
etc,18
most,18
old,18
came,18
cd,18
purchased,18
keys,18
call,18
times,17
internet,17
year,17
sent,17
?,17
few,17
gb,17
video,17
enough,17
such,17
excellent,17
every,17
always,17
who,17
;,16
gaming,16
may,16
something,16
into,16
take,16
however,16
little,16
around,16
sound,16
word,16
called,16
less,16
before,16
seems,16
nt,16
fixed,16
perfect,16
money,16
8,16
being,16
installed,15
processor,15
set,15
able,15
disk,15
motherboard,15
ever,15
display,15
said,15
cost,15
fact,15
4,15
next,14
day,14
external,14
anything,14
slow,14
change,14
open,14
amazing,14
running,14
completely,14
key,14
know,14
charge,14
once,14
dell,14
tech,14
wanted,13
mini,13
while,13
overall,13
without,13
tried,13
acer,13
years,13
recommend,13
looks,13
repair,13
carry,13
makes,13
supply,13
wireless,13
plus,13
things,13
fix,13
install,12
10,12
light,12
desktop,12
port,12
ports,12
easily,12
hardware,12
found,12
look,12
awesome,12
cheap,12
see,12
ease,12
fan,12
help,12
compared,12
though,12
getting,12
yet,12
days,12
doing,12
feel,12
bit,12
think,12
extended,12
last,12
boot,12
sure,11
email,11
user,11
bluetooth,11
editing,11
quick,11
touchpad,11
store,11
pretty,11
customer,11
play,11
buttons,11
shipping,11
drivers,11
month,11
different,11
where,11
warrenty,11
speakers,11
past,11
1,11
poor,10
online,10
feature,10
until,10
board,10
wonderful,10
replacement,10
finally,10
high,10
value,10
told,10
users,10
5,10
type,10
home,10
within,10
weight,10
expected,10
music,10
thought,10
center,10
xp,10
case,10
model,10
faster,10
experience,10
itself,10
big,10
processing,10
hour,10
second,10
book,10
files,10
connect,10
phone,10
...,10
due,10
number,9
weeks,9
several,9
top,9
extra,9
cool,9
wish,9
unless,9
box,9
clear,9
far,9
seconds,9
large,9
start,9
week,9
course,9
say,9
build,9
notebook,9
pay,9
happy,9
why,9
gets,9
iphoto,9
learning,9
computers,9
included,9
already,9
needed,9
full,8
college,8
person,8
hd,8
trackpad,8
bigger,8
browsing,8
needs,8
keep,8
except,8
easier,8
own,8
turn,8
send,8
'd,8
starter,8
front,8
constantly,8
perfectly,8
update,8
people,8
pcs,8
rather,8
anyone,8
space,8
started,8
someone,8
--,8
13,8
real,8
apps,8
s,8
nothing,8
upgraded,8
uses,8
done,8
huge,8
hdmi,8
stopped,8
webcam,8
're,8
learn,8
solid,8
lion,8
inside,8
button,8
these,8
under,8
else,8
asus,8
plugged,8
simple,8
documents,8
version,8
wo,8
longer,7
plug,7
froze,7
iwork,7
specs,7
ask,7
core,7
media,7
business,7
paid,7
garageband,7
photo,7
plenty,7
intel,7
save,7
slot,7
monitor,7
end,7
standard,7
replace,7
disc,7
seemed,7
loaded,7
difference,7
making,7
minutes,7
brand,7
network,7
aluminum,7
yes,7
short,7
point,7
worked,7
reason,7
fine,7
charged,7
extremely,7
graphic,7
recovery,7
must,7
ilife,7
volume,7
free,7
later,7
put,7
probably,7
quickly,7
although,7
highly,7
osx,7
dark,7
photos,7
both,7
taking,7
believe,7
left,7
stick,7
